1.0953125,1.09609375,0.975,0.97578125,1
1.0953125,1.09609375,0.9765625,0.97734375,1
1.09375,1.09453125,0.975,0.97578125,1
1.0953125,1.09609375,0.9796874999999999,0.98046875,1
1.09375,1.09453125,0.9765625,0.97734375,1
1.09375,1.09453125,0.9796874999999999,0.98046875,1
1.0953125,1.09609375,0.9781249999999999,0.9789062499999999,1
1.096875,1.09765625,0.975,0.97578125,1
1.0984375,1.09921875,0.975,0.97578125,1
1.096875,1.09765625,0.9765625,0.97734375,1
1.0984375,1.09921875,0.9765625,0.97734375,1
1.09375,1.09453125,0.9781249999999999,0.9789062499999999,1
1.096875,1.09765625,0.9781249999999999,0.9789062499999999,1
1.096875,1.09765625,0.984375,0.98515625,1
1.096875,1.09765625,0.9796874999999999,0.98046875,1
1.0984375,1.09921875,0.9859375,0.9867187500000001,1
1.0984375,1.09921875,0.9796874999999999,0.98046875,1
1.0984375,1.09921875,0.984375,0.98515625,1
1.096875,1.09765625,0.9859375,0.9867187500000001,1
1.0984375,1.09921875,0.9781249999999999,0.9789062499999999,1
1.0890625,1.08984375,0.98125,0.9820312499999999,1
1.0890625,1.08984375,0.984375,0.98515625,1
1.0921875,1.09296875,0.9828125,0.98359375,1
1.090625,1.09140625,0.9781249999999999,0.9789062499999999,1
1.0921875,1.09296875,0.98125,0.9820312499999999,1
1.0984375,1.09921875,0.98125,0.9820312499999999,1
1.0875,1.08828125,0.9859375,0.9867187500000001,1
1.096875,1.09765625,0.9828125,0.98359375,1
1.09375,1.09453125,0.9828125,0.98359375,1
1.090625,1.09140625,0.98125,0.9820312499999999,1
1.0953125,1.09609375,0.9859375,0.9867187500000001,1
1.0953125,1.09609375,0.984375,0.98515625,1
1.09375,1.09453125,0.9859375,0.9867187500000001,1
1.0875,1.08828125,0.9828125,0.98359375,1
1.0921875,1.09296875,0.9781249999999999,0.9789062499999999,1
1.090625,1.09140625,0.9859375,0.9867187500000001,1
1.090625,1.09140625,0.984375,0.98515625,1
1.0953125,1.09609375,0.9828125,0.98359375,1
1.090625,1.09140625,0.9796874999999999,0.98046875,1
1.0921875,1.09296875,0.984375,0.98515625,1
1.090625,1.09140625,0.9828125,0.98359375,1
1.096875,1.09765625,0.98125,0.9820312499999999,1
1.0921875,1.09296875,0.9796874999999999,0.98046875,1
1.09375,1.09453125,0.984375,0.98515625,1
1.0875,1.08828125,0.984375,0.98515625,1
1.0921875,1.09296875,0.9859375,0.9867187500000001,1
1.0984375,1.09921875,0.9828125,0.98359375,1
1.0953125,1.09609375,0.98125,0.9820312499999999,1
1.09375,1.09453125,0.98125,0.9820312499999999,1
1.0890625,1.08984375,0.9859375,0.9867187500000001,1
1.0890625,1.08984375,0.9828125,0.98359375,1
1.0875,1.08828125,0.98125,0.9820312499999999,1
1.0625,1.06328125,0.9859375,0.9867187500000001,1
1.0640625,1.06484375,0.9859375,0.9867187500000001,1
1.0640625,1.06484375,0.984375,0.98515625,1
1.0625,1.06328125,0.984375,0.98515625,1
1.0875,1.08828125,0.9796874999999999,0.98046875,1
1.0875,1.08828125,0.975,0.97578125,1
1.0875,1.08828125,0.9781249999999999,0.9789062499999999,1
1.0890625,1.08984375,0.9796874999999999,0.98046875,1
1.0890625,1.08984375,0.975,0.97578125,1
1.0875,1.08828125,0.9765625,0.97734375,1
1.090625,1.09140625,0.9765625,0.97734375,1
1.0921875,1.09296875,0.975,0.97578125,1
1.0921875,1.09296875,0.9765625,0.97734375,1
